degree,gamma,coef0,C,class_weight,kernel,true_positive,false_positive,true_negative,false_negative
5.0,0.003401360544217687,1.0,1.0,balanced,poly,227,110,1478,110
5.0,0.05832118435198043,0.0,1.0,balanced,poly,265,374,1214,72
5.0,0.05832118435198043,1.0,1.0,balanced,poly,222,139,1449,115
5.0,1.0,0.0,1.0,balanced,poly,267,376,1212,70
5.0,1.0,1.0,1.0,balanced,poly,252,358,1230,85
,1.156925355176084e-05,,1.0,balanced,rbf,315,679,909,22
,0.0001983713753468722,,1.0,balanced,rbf,297,390,1198,40
,0.003401360544217687,,1.0,balanced,rbf,262,161,1427,75
,0.05832118435198043,,1.0,balanced,rbf,1,0,1588,336
,1.0,,1.0,balanced,rbf,0,0,1588,337
,,,10.0,balanced,linear,137,306,1282,200
2.0,1.156925355176084e-05,0.0,10.0,balanced,poly,173,789,799,164
2.0,1.156925355176084e-05,1.0,10.0,balanced,poly,300,428,1160,37
2.0,0.0001983713753468722,0.0,10.0,balanced,poly,334,1300,288,3
2.0,0.0001983713753468722,1.0,10.0,balanced,poly,275,290,1298,62
2.0,0.003401360544217687,0.0,10.0,balanced,poly,216,121,1467,121
2.0,0.003401360544217687,1.0,10.0,balanced,poly,223,136,1452,114
2.0,0.05832118435198043,0.0,10.0,balanced,poly,211,121,1467,126
2.0,0.05832118435198043,1.0,10.0,balanced,poly,224,123,1465,113
2.0,1.0,0.0,10.0,balanced,poly,201,122,1466,136
2.0,1.0,1.0,10.0,balanced,poly,209,125,1463,128
3.0,1.156925355176084e-05,0.0,10.0,balanced,poly,197,958,630,140
3.0,1.156925355176084e-05,1.0,10.0,balanced,poly,294,395,1193,43
3.0,0.0001983713753468722,0.0,10.0,balanced,poly,337,1572,16,0
3.0,0.0001983713753468722,1.0,10.0,balanced,poly,271,274,1314,66
3.0,0.003401360544217687,0.0,10.0,balanced,poly,230,158,1430,107
3.0,0.003401360544217687,1.0,10.0,balanced,poly,227,137,1451,110
3.0,0.05832118435198043,0.0,10.0,balanced,poly,227,181,1407,110
3.0,0.05832118435198043,1.0,10.0,balanced,poly,227,121,1467,110
3.0,1.0,0.0,10.0,balanced,poly,227,176,1412,110
3.0,1.0,1.0,10.0,balanced,poly,223,165,1423,114
4.0,1.156925355176084e-05,0.0,10.0,balanced,poly,140,631,957,197
4.0,1.156925355176084e-05,1.0,10.0,balanced,poly,297,380,1208,40
4.0,0.0001983713753468722,0.0,10.0,balanced,poly,337,1588,0,0
4.0,0.0001983713753468722,1.0,10.0,balanced,poly,271,250,1338,66
4.0,0.003401360544217687,0.0,10.0,balanced,poly,221,123,1465,116
4.0,0.003401360544217687,1.0,10.0,balanced,poly,232,123,1465,105
4.0,0.05832118435198043,0.0,10.0,balanced,poly,186,116,1472,151
4.0,0.05832118435198043,1.0,10.0,balanced,poly,216,103,1485,121
4.0,1.0,0.0,10.0,balanced,poly,194,127,1461,143
